
============================================================
GENERATING ANALYSIS REPORT
============================================================

--- Summary for Metapath Length 2 ---
| Dataset      |   Length | Method     |   K |       Edges_Mean |   Prep_Mean |   Infer_Mean |   Total_Mean |
|:-------------|---------:|:-----------|----:|-----------------:|------------:|-------------:|-------------:|
| HGB_DBLP     |        2 | Exact      |   0 |  15170           |  0.0395433  |   0.00213783 |   0.0416812  |
| HGB_DBLP     |        2 | KMV (K=2)  |   2 |   9183.67        |  0.0376793  |   0.0031341  |   0.0408134  |
| HGB_DBLP     |        2 | KMV (K=4)  |   4 |  10513.7         |  0.0073425  |   0.00115017 |   0.00849266 |
| HGB_DBLP     |        2 | KMV (K=8)  |   8 |  11005           |  0.00616137 |   0.00109723 |   0.00725861 |
| HGB_DBLP     |        2 | KMV (K=16) |  16 |  11099           |  0.0062116  |   0.0012486  |   0.0074602  |
| HGB_DBLP     |        2 | KMV (K=32) |  32 |  11113           |  0.00703867 |   0.00100093 |   0.00803961 |
| HGB_ACM      |        2 | Exact      |   0 |      2.22011e+06 |  0.0266199  |   0.033818   |   0.0604378  |
| HGB_ACM      |        2 | KMV (K=2)  |   2 |  14815           |  0.00600004 |   0.00301137 |   0.00901141 |
| HGB_ACM      |        2 | KMV (K=4)  |   4 |  26311           |  0.00699878 |   0.00161857 |   0.00861734 |
| HGB_ACM      |        2 | KMV (K=8)  |   8 |  48625           |  0.0060006  |   0.00181527 |   0.00781586 |
| HGB_ACM      |        2 | KMV (K=16) |  16 |  91253           |  0.00600028 |   0.00358733 |   0.00958761 |
| HGB_ACM      |        2 | KMV (K=32) |  32 | 171737           |  0.00633637 |   0.0043456  |   0.010682   |
| HGB_IMDB     |        2 | Exact      |   0 | 408780           |  0.00832437 |   0.0121646  |   0.020489   |
| HGB_IMDB     |        2 | KMV (K=2)  |   2 |  23204           |  0.0132455  |   0.0028104  |   0.0160559  |
| HGB_IMDB     |        2 | KMV (K=4)  |   4 |  40843.3         |  0.0153418  |   0.0042861  |   0.0196279  |
| HGB_IMDB     |        2 | KMV (K=8)  |   8 |  73739.3         |  0.011177   |   0.00754203 |   0.018719   |
| HGB_IMDB     |        2 | KMV (K=16) |  16 | 130469           |  0.0159049  |   0.00723953 |   0.0231444  |
| HGB_IMDB     |        2 | KMV (K=32) |  32 | 215956           |  0.0209841  |   0.0108128  |   0.0317969  |
| HGB_Freebase |        2 | Exact      |   0 |     -1           | -1          |  -1          |  -1          |
| HGB_Freebase |        2 | KMV (K=2)  |   2 | 179613           |  0.00699838 |   0.00224973 |   0.00924811 |
| HGB_Freebase |        2 | KMV (K=4)  |   4 | 313043           |  0.0111586  |   0.0039984  |   0.015157   |
| HGB_Freebase |        2 | KMV (K=8)  |   8 | 564974           |  0.0153329  |   0.00654253 |   0.0218755  |
| HGB_Freebase |        2 | KMV (K=16) |  16 |      1.03489e+06 |  0.0246578  |   0.0220721  |   0.0467299  |
| HGB_Freebase |        2 | KMV (K=32) |  32 |      1.90183e+06 |  0.0419966  |   0.0485574  |   0.0905541  |
| OGB_MAG      |        2 | Exact      |   0 |     -1           | -1          |  -1          |  -1          |
| OGB_MAG      |        2 | KMV (K=2)  |   2 |      2.87843e+06 |  0.158185   |   4.05247    |   4.21066    |
| OGB_MAG      |        2 | KMV (K=4)  |   4 |      4.80906e+06 |  0.242872   |   4.58102    |   4.82389    |
| OGB_MAG      |        2 | KMV (K=8)  |   8 |     -1           | -1          |  -1          |  -1          |
| OGB_MAG      |        2 | KMV (K=16) |  16 |     -1           | -1          |  -1          |  -1          |
| OGB_MAG      |        2 | KMV (K=32) |  32 |     -1           | -1          |  -1          |  -1          |
| PyG_IMDB     |        2 | Exact      |   0 |  89636           |  0.00491803 |   0.00299737 |   0.0079154  |
| PyG_IMDB     |        2 | KMV (K=2)  |   2 |  17686.7         |  0.0118385  |   0.0028016  |   0.0146401  |
| PyG_IMDB     |        2 | KMV (K=4)  |   4 |  28710           |  0.0128675  |   0.0047876  |   0.0176551  |
| PyG_IMDB     |        2 | KMV (K=8)  |   8 |  45660.7         |  0.0168046  |   0.0053857  |   0.0221903  |
| PyG_IMDB     |        2 | KMV (K=16) |  16 |  65650.7         |  0.0207477  |   0.00768027 |   0.028428   |
| PyG_IMDB     |        2 | KMV (K=32) |  32 |  81316.7         |  0.019699   |   0.00849847 |   0.0281975  |
| PyG_DBLP     |        2 | Exact      |   0 |  15170           |  0.00758797 |   0.00279657 |   0.0103845  |
| PyG_DBLP     |        2 | KMV (K=2)  |   2 |   9245.67        |  0.013008   |   0.00289793 |   0.015906   |
| PyG_DBLP     |        2 | KMV (K=4)  |   4 |  10527.7         |  0.0196679  |   0.0030471  |   0.022715   |
| PyG_DBLP     |        2 | KMV (K=8)  |   8 |  11002.3         |  0.0246056  |   0.00495743 |   0.029563   |
| PyG_DBLP     |        2 | KMV (K=16) |  16 |  11097.7         |  0.0233359  |   0.00331923 |   0.0266551  |
| PyG_DBLP     |        2 | KMV (K=32) |  32 |  11112.3         |  0.0407669  |   0.00693523 |   0.0477021  |
| PyG_AMiner   |        2 | Exact      |   0 |      1.79503e+07 |  0.285241   |   2.8252     |   3.11044    |
| PyG_AMiner   |        2 | KMV (K=2)  |   2 |      6.36418e+06 |  0.250378   |   0.594117   |   0.844495   |
