Dataset,L,Method,k,w_prime,Seed,Edge_Count,Mat_Time_s,Macro_F1,CKA,Pred_Agreement
HGB_ACM,2,KMV,4,,42,10023,0.0144,0.865692,0.907612,0.906388
HGB_ACM,2,KMV,4,,43,10023,0.0145,0.865351,0.908174,0.903634
HGB_ACM,2,KMV,4,,44,10023,0.0131,0.86862,0.904536,0.904185
HGB_ACM,2,KMV,4,,45,10023,0.0181,0.869039,0.908248,0.901432
HGB_ACM,2,KMV,4,,46,10023,0.0147,0.871007,0.906761,0.904185
HGB_ACM,2,KMV,8,,42,18100,0.0158,0.876848,0.923594,0.914097
HGB_ACM,2,KMV,8,,43,18100,0.016,0.871514,0.926249,0.911344
HGB_ACM,2,KMV,8,,44,18100,0.0163,0.877115,0.924095,0.917952
HGB_ACM,2,KMV,8,,45,18100,0.0164,0.878112,0.926771,0.915198
HGB_ACM,2,KMV,8,,46,18100,0.0163,0.880415,0.924316,0.9163
HGB_ACM,2,KMV,16,,42,32042,0.0213,0.883852,0.946381,0.927863
HGB_ACM,2,KMV,16,,43,32042,0.0209,0.884339,0.94747,0.93337
HGB_ACM,2,KMV,16,,44,32042,0.0243,0.885136,0.950694,0.929515
HGB_ACM,2,KMV,16,,45,32042,0.0208,0.883308,0.951178,0.927863
HGB_ACM,2,KMV,16,,46,32042,0.0208,0.889898,0.946787,0.931718
HGB_ACM,2,KMV,32,,42,54169,0.0303,0.898685,0.97401,0.955947
HGB_ACM,2,KMV,32,,43,54169,0.0305,0.896466,0.976943,0.955396
HGB_ACM,2,KMV,32,,44,54169,0.0301,0.897812,0.976222,0.955947
HGB_ACM,2,KMV,32,,45,54169,0.0307,0.898687,0.976256,0.957599
HGB_ACM,2,KMV,32,,46,54169,0.0306,0.899276,0.97213,0.953744
HGB_ACM,2,KMV,64,,42,85728,0.062,0.898753,0.992267,0.974119
HGB_ACM,2,KMV,64,,43,85728,0.0629,0.893955,0.99186,0.978524
HGB_ACM,2,KMV,64,,44,85728,0.0572,0.893817,0.991241,0.977974
HGB_ACM,2,KMV,64,,45,85728,0.0585,0.899899,0.991061,0.974119
HGB_ACM,2,KMV,64,,46,85728,0.0607,0.89447,0.991321,0.977974
HGB_ACM,2,KMV,128,,42,117209,0.1069,0.893335,0.997132,0.988987
HGB_ACM,2,KMV,128,,43,117209,0.1066,0.891713,0.997311,0.989537
HGB_ACM,2,KMV,128,,44,117209,0.1077,0.891766,0.997198,0.988436
HGB_ACM,2,KMV,128,,45,117209,0.1216,0.893328,0.997653,0.986233
HGB_ACM,2,KMV,128,,46,117209,0.1065,0.893394,0.996725,0.985132
HGB_ACM,2,MPRW,,2,42,5492,0.0004,0.896722,0.948332,0.942731
HGB_ACM,2,MPRW,,2,43,5480,0.0004,0.902155,0.949463,0.941079
HGB_ACM,2,MPRW,,2,44,5456,0.0003,0.890898,0.946403,0.939427
HGB_ACM,2,MPRW,,2,45,5524,0.0004,0.895556,0.951082,0.936123
HGB_ACM,2,MPRW,,2,46,5354,0.0004,0.897638,0.947285,0.939427
HGB_ACM,2,MPRW,,4,42,9450,0.0006,0.906886,0.967279,0.955396
HGB_ACM,2,MPRW,,4,43,9396,0.0006,0.90888,0.965874,0.952643
HGB_ACM,2,MPRW,,4,44,9464,0.0006,0.902047,0.965655,0.953194
HGB_ACM,2,MPRW,,4,45,9376,0.0007,0.904362,0.966876,0.952093
HGB_ACM,2,MPRW,,4,46,9426,0.0006,0.904594,0.967272,0.95815
HGB_ACM,2,MPRW,,8,42,15160,0.0016,0.909138,0.978467,0.963656
HGB_ACM,2,MPRW,,8,43,15186,0.0015,0.910256,0.977663,0.961454
HGB_ACM,2,MPRW,,8,44,15034,0.001,0.908491,0.977969,0.962555
HGB_ACM,2,MPRW,,8,45,15204,0.0013,0.907576,0.978116,0.962004
HGB_ACM,2,MPRW,,8,46,15274,0.001,0.908421,0.978993,0.96696
HGB_ACM,2,MPRW,,16,42,22636,0.0018,0.906995,0.984558,0.971916
HGB_ACM,2,MPRW,,16,43,22942,0.002,0.910725,0.984088,0.968612
HGB_ACM,2,MPRW,,16,44,22702,0.0022,0.909147,0.985112,0.969714
HGB_ACM,2,MPRW,,16,45,22832,0.0019,0.909166,0.9842,0.968062
HGB_ACM,2,MPRW,,16,46,22904,0.0033,0.906814,0.98473,0.971366
HGB_ACM,2,MPRW,,32,42,32276,0.0033,0.903625,0.989967,0.972467
HGB_ACM,2,MPRW,,32,43,32366,0.0031,0.906355,0.989313,0.970815
HGB_ACM,2,MPRW,,32,44,32158,0.0033,0.906337,0.989457,0.972467
HGB_ACM,2,MPRW,,32,45,32048,0.0032,0.906963,0.989166,0.973568
HGB_ACM,2,MPRW,,32,46,32104,0.0032,0.909005,0.989362,0.973018
HGB_ACM,2,MPRW,,64,42,43988,0.0062,0.903599,0.993414,0.978524
HGB_ACM,2,MPRW,,64,43,43790,0.0064,0.903525,0.993238,0.976872
HGB_ACM,2,MPRW,,64,44,43796,0.006,0.902072,0.992893,0.979626
HGB_ACM,2,MPRW,,64,45,43546,0.0064,0.906428,0.993009,0.97467
HGB_ACM,2,MPRW,,64,46,43610,0.0082,0.905798,0.993166,0.977974
HGB_ACM,2,MPRW,,128,42,57978,0.0115,0.900362,0.995835,0.985683
HGB_ACM,2,MPRW,,128,43,57640,0.0117,0.899247,0.99585,0.984581
HGB_ACM,2,MPRW,,128,44,57804,0.0121,0.901382,0.995997,0.984581
HGB_ACM,2,MPRW,,128,45,57742,0.0113,0.903077,0.995996,0.980727
HGB_ACM,2,MPRW,,128,46,57642,0.0116,0.903029,0.995961,0.984031
HGB_ACM,2,MPRW,,256,42,74620,0.0219,0.896598,0.997732,0.988436
HGB_ACM,2,MPRW,,256,43,73866,0.0218,0.898254,0.997719,0.990088
HGB_ACM,2,MPRW,,256,44,74546,0.0254,0.897706,0.997722,0.989537
HGB_ACM,2,MPRW,,256,45,74116,0.0221,0.896049,0.997903,0.986784
HGB_ACM,2,MPRW,,256,46,74396,0.0307,0.89872,0.997861,0.986784
HGB_ACM,2,MPRW,,512,42,92100,0.052,0.896046,0.998947,0.993392
HGB_ACM,2,MPRW,,512,43,91834,0.0466,0.895545,0.998965,0.992841
HGB_ACM,2,MPRW,,512,44,92074,0.0431,0.895002,0.998877,0.992291
HGB_ACM,2,MPRW,,512,45,91954,0.0521,0.894969,0.99898,0.994493
HGB_ACM,2,MPRW,,512,46,92224,0.0445,0.892787,0.998956,0.994493
HGB_ACM,2,KGRW,4,2,42,15330,0.0024,0.904337,0.972465,0.959251
HGB_ACM,2,KGRW,4,2,43,15610,0.0027,0.908664,0.971242,0.959251
HGB_ACM,2,KGRW,4,2,44,15448,0.0025,0.906776,0.971422,0.965308
HGB_ACM,2,KGRW,4,2,45,15538,0.0026,0.90546,0.973099,0.962004
HGB_ACM,2,KGRW,4,2,46,15546,0.0029,0.908061,0.97282,0.95815
HGB_ACM,2,KGRW,4,4,42,20296,0.0031,0.902494,0.981009,0.96641
HGB_ACM,2,KGRW,4,4,43,20440,0.0044,0.907398,0.977421,0.962004
HGB_ACM,2,KGRW,4,4,44,20288,0.0032,0.908563,0.980397,0.969714
HGB_ACM,2,KGRW,4,4,45,20330,0.0032,0.906346,0.980784,0.965308
HGB_ACM,2,KGRW,4,4,46,20374,0.0034,0.908104,0.980456,0.964758
HGB_ACM,2,KGRW,4,8,42,25696,0.0043,0.901016,0.984797,0.969714
HGB_ACM,2,KGRW,4,8,43,25950,0.006,0.908565,0.984023,0.968612
HGB_ACM,2,KGRW,4,8,44,25682,0.0043,0.901944,0.985705,0.973018
HGB_ACM,2,KGRW,4,8,45,25966,0.0041,0.904156,0.986039,0.968612
HGB_ACM,2,KGRW,4,8,46,25610,0.0046,0.903232,0.984311,0.967511
HGB_ACM,2,KGRW,4,16,42,31582,0.0057,0.904218,0.988356,0.971916
HGB_ACM,2,KGRW,4,16,43,31884,0.0068,0.90706,0.987466,0.973568
HGB_ACM,2,KGRW,4,16,44,31236,0.0064,0.898817,0.989453,0.976322
HGB_ACM,2,KGRW,4,16,45,31964,0.0055,0.903065,0.988709,0.973018
HGB_ACM,2,KGRW,4,16,46,31750,0.0053,0.901538,0.988339,0.973018
HGB_ACM,2,KGRW,4,32,42,37412,0.0077,0.904789,0.991456,0.976872
HGB_ACM,2,KGRW,4,32,43,37534,0.0143,0.902521,0.990243,0.97467
HGB_ACM,2,KGRW,4,32,44,36868,0.0093,0.8961,0.99185,0.979075
HGB_ACM,2,KGRW,4,32,45,37962,0.0077,0.904191,0.991282,0.976872
HGB_ACM,2,KGRW,4,32,46,37780,0.0078,0.90033,0.99078,0.974119
HGB_ACM,2,KGRW,4,64,42,41756,0.0249,0.90316,0.992513,0.978524
HGB_ACM,2,KGRW,4,64,43,41956,0.0113,0.902497,0.991353,0.976872
HGB_ACM,2,KGRW,4,64,44,41008,0.0119,0.892261,0.99306,0.984031
HGB_ACM,2,KGRW,4,64,45,42792,0.0116,0.903168,0.992829,0.977423
HGB_ACM,2,KGRW,4,64,46,42420,0.0207,0.901399,0.991781,0.97522
HGB_ACM,2,KGRW,4,128,42,44504,0.0181,0.903187,0.993261,0.978524
HGB_ACM,2,KGRW,4,128,43,44622,0.0184,0.901918,0.992076,0.978524
HGB_ACM,2,KGRW,4,128,44,43532,0.0181,0.892814,0.993661,0.985683
HGB_ACM,2,KGRW,4,128,45,45622,0.018,0.901538,0.993506,0.980176
HGB_ACM,2,KGRW,4,128,46,45440,0.0317,0.899848,0.99228,0.974119
HGB_ACM,2,KGRW,4,256,42,45668,0.0323,0.90269,0.993661,0.979075
HGB_ACM,2,KGRW,4,256,43,45868,0.0284,0.902469,0.992204,0.977974
HGB_ACM,2,KGRW,4,256,44,44538,0.0311,0.89337,0.993915,0.986233
HGB_ACM,2,KGRW,4,256,45,46942,0.0286,0.902638,0.993607,0.979075
HGB_ACM,2,KGRW,4,256,46,46902,0.0309,0.900924,0.992627,0.974119
HGB_ACM,2,KGRW,4,512,42,46092,0.0515,0.902637,0.993779,0.979075
HGB_ACM,2,KGRW,4,512,43,46274,0.0492,0.903024,0.992323,0.978524
HGB_ACM,2,KGRW,4,512,44,44808,0.0495,0.893316,0.994021,0.987335
HGB_ACM,2,KGRW,4,512,45,47404,0.0526,0.902638,0.993732,0.979075
HGB_ACM,2,KGRW,4,512,46,47492,0.0503,0.900924,0.992682,0.974119
HGB_ACM,2,KGRW,8,2,42,24304,0.0033,0.906432,0.981919,0.96696
HGB_ACM,2,KGRW,8,2,43,24488,0.0033,0.908641,0.981378,0.96696
HGB_ACM,2,KGRW,8,2,44,24484,0.0032,0.906943,0.980895,0.967511
HGB_ACM,2,KGRW,8,2,45,24060,0.0032,0.904767,0.980462,0.968612
HGB_ACM,2,KGRW,8,2,46,24196,0.0032,0.908655,0.981065,0.965308
HGB_ACM,2,KGRW,8,4,42,31914,0.0043,0.90195,0.98704,0.970264
HGB_ACM,2,KGRW,8,4,43,31766,0.0042,0.907503,0.985614,0.971366
HGB_ACM,2,KGRW,8,4,44,31994,0.0039,0.904833,0.986553,0.972467
HGB_ACM,2,KGRW,8,4,45,31596,0.004,0.908497,0.986834,0.973568
HGB_ACM,2,KGRW,8,4,46,31658,0.004,0.907568,0.986476,0.971916
HGB_ACM,2,KGRW,8,8,42,40414,0.0065,0.898784,0.989838,0.973018
HGB_ACM,2,KGRW,8,8,43,40520,0.0098,0.903658,0.990465,0.97467
HGB_ACM,2,KGRW,8,8,44,40788,0.0057,0.899752,0.990576,0.977423
HGB_ACM,2,KGRW,8,8,45,40638,0.0056,0.904715,0.990786,0.97467
HGB_ACM,2,KGRW,8,8,46,40056,0.0052,0.905335,0.989905,0.974119
HGB_ACM,2,KGRW,8,16,42,49716,0.0077,0.896068,0.993375,0.980176
HGB_ACM,2,KGRW,8,16,43,50276,0.0076,0.901054,0.993484,0.980727
HGB_ACM,2,KGRW,8,16,44,49752,0.0085,0.897182,0.9939,0.982379
HGB_ACM,2,KGRW,8,16,45,50264,0.0077,0.900879,0.992776,0.980727
HGB_ACM,2,KGRW,8,16,46,49920,0.0075,0.902047,0.993279,0.978524
HGB_ACM,2,KGRW,8,32,42,58804,0.0144,0.898693,0.995552,0.981828
HGB_ACM,2,KGRW,8,32,43,59238,0.013,0.896679,0.995585,0.985132
HGB_ACM,2,KGRW,8,32,44,58682,0.0122,0.896157,0.995679,0.984581
HGB_ACM,2,KGRW,8,32,45,59718,0.0199,0.898753,0.995038,0.984031
HGB_ACM,2,KGRW,8,32,46,59248,0.0117,0.900985,0.995195,0.980727
HGB_ACM,2,KGRW,8,64,42,65400,0.0183,0.89927,0.996461,0.98348
HGB_ACM,2,KGRW,8,64,43,66260,0.0219,0.897171,0.996411,0.986233
HGB_ACM,2,KGRW,8,64,44,65420,0.017,0.89395,0.996675,0.987885
HGB_ACM,2,KGRW,8,64,45,67284,0.0167,0.897145,0.996554,0.985683
HGB_ACM,2,KGRW,8,64,46,66334,0.0169,0.897722,0.996254,0.985132
HGB_ACM,2,KGRW,8,128,42,69504,0.0271,0.897668,0.997048,0.986233
HGB_ACM,2,KGRW,8,128,43,70464,0.0291,0.897148,0.9971,0.988987
HGB_ACM,2,KGRW,8,128,44,69538,0.0265,0.894997,0.997155,0.991189
HGB_ACM,2,KGRW,8,128,45,71718,0.0261,0.896561,0.997063,0.988436
HGB_ACM,2,KGRW,8,128,46,70756,0.0266,0.898274,0.996538,0.984581
HGB_ACM,2,KGRW,8,256,42,71334,0.0453,0.897095,0.997306,0.987885
